;termo2;tiempo
0;24,5;13:02:58
1;25;13:02:56
2;25;13:02:55
3;24;13:02:53
4;25;13:02:52
5;25,25;13:02:50
6;24,75;13:02:49
7;25;13:02:47
8;25;13:02:46
9;24,5;13:02:44
10;25;13:02:43
11;25;13:02:41
12;24,75;13:02:40
13;25;13:02:38
14;24,5;13:02:37
15;24,75;13:02:35
16;24,75;13:02:34
17;24,75;13:02:32
18;25,25;13:02:31
19;25,25;13:02:29
20;25;13:02:28
21;24,75;13:02:26
22;25;13:02:25
23;24,75;13:02:23
24;25;13:02:22
25;24,5;13:02:20
26;25,25;13:02:19
27;24,5;13:02:17
28;25,5;13:02:16
29;25;13:02:14
30;25,25;13:02:12
31;24,75;13:02:11
32;24,5;13:02:09
33;24,5;13:02:08
34;24,5;13:02:07
35;24,75;13:02:05
36;25;13:02:04
37;24,75;13:02:02
38;24,75;13:02:00
39;25;13:01:59
40;25,5;13:01:57
41;25,25;13:01:56
42;24,75;13:01:54
43;25,25;13:01:53
44;25;13:01:51
45;25;13:01:50
46;25;13:01:48
47;25,25;13:01:47
48;25;13:01:45
49;25,25;13:01:44
50;24,75;13:01:42
51;25,25;13:01:41
52;24,75;13:01:39
53;25;13:01:38
54;24,5;13:01:36
55;24,75;13:01:35
56;25;13:01:33
57;25;13:01:32
58;25,5;13:01:30
59;25,25;13:01:29
60;24,75;13:01:27
61;25,25;13:01:26
62;25,25;13:01:24
63;25;13:01:23
64;25,25;13:01:21
65;25,25;13:01:20
66;25,25;13:01:18
67;25;13:01:17
68;25,25;13:01:15
69;25,25;13:01:14
70;25,25;13:01:13
71;25;13:01:11
72;25,25;13:01:09
73;24,5;13:01:08
74;25,25;13:01:06
75;25,5;13:01:05
76;25,25;13:01:03
77;25;13:01:02
78;25,25;13:01:00
79;25;13:00:59
80;25,25;13:00:57
81;25,25;13:00:56
82;25,5;13:00:54
83;24,5;13:00:53
84;25,25;13:00:51
85;25,5;13:00:50
86;25;13:00:48
87;25;13:00:47
88;25;13:00:45
89;25,5;13:00:44
90;25,5;13:00:42
91;25,5;13:00:41
92;25;13:00:40
93;25,5;13:00:38
94;25,25;13:00:36
95;25,5;13:00:35
96;25,5;13:00:33
97;25,25;13:00:32
98;25,5;13:00:30
99;25;13:00:29
100;25;13:00:28
101;25,25;13:00:26
102;25;13:00:25
103;25,5;13:00:24
104;25,5;13:00:20
105;24,75;13:00:19
106;25;13:00:17
107;25;13:00:16
108;25;13:00:14
109;25;13:00:12
110;25,5;13:00:11
111;25,5;13:00:09
112;25,5;13:00:08
113;25,5;13:00:06
114;25,5;13:00:05
115;25,75;13:00:03
116;25,25;13:00:02
117;25;13:00:00
118;25,5;12:59:59
119;25,75;12:59:57
120;25,75;12:59:56
121;25,25;12:59:54
122;25,5;12:59:53
123;25,5;12:59:51
124;25,5;12:59:50
125;25,5;12:59:48
126;24,75;12:59:47
127;25,75;12:59:45
128;25,75;12:59:44
129;25,75;12:59:42
130;25,5;12:59:41
131;25,25;12:59:39
132;25,75;12:59:38
133;25,75;12:59:36
134;25,5;12:59:35
135;25,5;12:59:33
136;25,75;12:59:32
137;25,75;12:59:30
138;25,75;12:59:29
139;26;12:59:28
140;25,75;12:59:26
141;25,25;12:59:24
142;25,25;12:59:23
143;25,75;12:59:21
144;25,75;12:59:20
145;25,5;12:59:18
146;25,75;12:59:17
147;25,75;12:59:15
148;25,5;12:59:14
149;26;12:59:12
150;25,5;12:59:11
151;25,5;12:59:09
152;25,5;12:59:08
153;25,75;12:59:06
154;25,25;12:59:05
155;26;12:59:03
156;25,75;12:59:02
157;25,75;12:59:00
158;25,25;12:58:59
159;25,75;12:58:58
160;25,75;12:58:56
161;26;12:58:54
162;25,75;12:58:53
163;26;12:58:51
164;25,25;12:58:50
165;25,5;12:58:48
166;26;12:58:47
167;26;12:58:45
168;25,75;12:58:43
169;26;12:58:42
170;25,75;12:58:40
171;25,75;12:58:39
172;26;12:58:38
173;25,75;12:58:36
174;25,5;12:58:35
175;25,25;12:58:33
176;26;12:58:31
177;25,25;12:58:30
178;26;12:58:29
179;26;12:58:27
180;25,5;12:58:25
181;25;12:58:24
182;25,75;12:58:22
183;26;12:58:21
184;25,75;12:58:19
185;26,25;12:58:18
186;26;12:58:16
187;25,75;12:58:15
188;26,25;12:58:13
189;25,5;12:58:12
190;26,25;12:58:10
191;26,25;12:58:09
192;25,75;12:58:07
193;26,5;12:58:06
194;26;12:58:04
195;26;12:58:03
196;26;12:58:01
197;26;12:58:00
198;26;12:57:58
199;26,25;12:57:57
200;25,75;12:57:55
201;26,5;12:57:54
202;26;12:57:52
203;26,25;12:57:51
204;25,75;12:57:49
205;26;12:57:48
206;26,25;12:57:46
207;26,25;12:57:45
208;26,25;12:57:43
209;26;12:57:42
210;26,5;12:57:40
211;26,25;12:57:39
212;26,5;12:57:37
213;26,5;12:57:36
214;26,5;12:57:34
215;26,25;12:57:33
216;26,25;12:57:31
217;26,5;12:57:30
218;26,5;12:57:28
219;26,25;12:57:27
220;26,25;12:57:25
221;26,75;12:57:24
222;26,25;12:57:22
223;26,5;12:57:21
224;26,5;12:57:19
225;26,75;12:57:18
226;26,75;12:57:16
227;26,75;12:57:15
228;26,75;12:57:13
229;26,5;12:57:12
230;26,25;12:57:10
231;26,75;12:57:09
232;25,75;12:57:07
233;26,5;12:57:06
234;26,5;12:57:04
235;26,75;12:57:03
236;26,5;12:57:01
237;26,5;12:57:00
238;26,75;12:56:58
239;26,75;12:56:57
240;27;12:56:55
241;27;12:56:54
242;26,25;12:56:52
243;26,75;12:56:51
244;26,5;12:56:49
245;26,75;12:56:48
246;26,5;12:56:46
247;26,5;12:56:45
248;26,75;12:56:43
249;27;12:56:42
250;26,75;12:56:40
251;27;12:56:39
252;26,75;12:56:37
253;27;12:56:36
254;26,75;12:56:34
255;27;12:56:33
256;27,25;12:56:31
257;26,5;12:56:30
258;26,75;12:56:28
259;27;12:56:27
260;26,75;12:56:25
261;27,25;12:56:24
262;27,25;12:56:22
263;26,5;12:56:21
264;26,5;12:56:19
265;27;12:56:18
266;27;12:56:16
267;27;12:56:15
268;27,5;12:56:13
269;27,25;12:56:12
270;27;12:56:10
