termo2;seconds_diff;;;;
103;1195,286;;;;
101;1191,842;;;;
98,25;1190,996;;;;
97;1189,572;;;;
95,75;1185,037;;;;
92,75;1183,542;;;;
92,5;1182,011;;;;
91,75;1180,538;;;;
90,75;1179,057;;;;
89,75;1176,068;;;;
88,5;1174,533;;;;
88;1173,034;;;;
87,5;1171,538;;;;
87,5;1169,957;;;;
86,75;1168,447;;;;
85,75;1166,987;;;;
85,25;1165,288;;;;
84,5;1161,529;;;;
84,25;1161,007;;;;
82,75;1158,03;;;;
82,5;1156,482;;;;
82,25;1154,996;;;;
81,75;1153,446;;;;
81,5;1151,991;;;;
80,5;1148,011;;;;
80;1145,969;;;;
79,5;1144,486;;;;
79;1142,961;;;;
78,5;1141,427;;;;
78,25;1139,936;;;;
77,25;1138,285;;;;
76,75;1136,89;;;;
76,5;1135,447;;;;
76,5;1133,864;;;;
76,25;1132,413;;;;
75,5;1130,906;;;;
75,25;1129,377;;;;
74,5;1127,832;;;;
74,75;1126,436;;;;
74,25;1124,777;;;;
73,75;1123,356;;;;
73,5;1121,53;;;;
72,75;1118,521;;;;
72,25;1116,046;;;;
71,5;1114,395;;;;
71,5;1112,873;;;;
71,25;1111,403;;;;
70,75;1109,901;;;;
70,25;1108,406;;;;
70;1106,846;;;;
69,75;1105,376;;;;
69,25;1103,811;;;;
69,25;1102,383;;;;
68,25;1100,878;;;;
68,75;1099,376;;;;
67,75;1097,867;;;;
68,25;1096,366;;;;
67,5;1094,797;;;;
67,25;1093,367;;;;
66,5;1091,781;;;;
66,25;1090,336;;;;
66,5;1088,821;;;;
65,75;1087,326;;;;
65,5;1085,837;;;;
65,5;1084,346;;;;
65;1082,656;;;;
64,5;1081,294;;;;
64,5;1062,69;;;;
61;1061,778;;;;
61,25;1060,301;;;;
60,75;1058,792;;;;
60,5;1057,291;;;;
60,25;1055,781;;;;
59,75;1054,291;;;;
59,75;1052,77;;;;
59,5;1051,286;;;;
59,25;1049,766;;;;
58,5;1048,279;;;;
59;1046,755;;;;
58;1045,238;;;;
58,25;1043,687;;;;
58;1042,238;;;;
58;1040,722;;;;
57,5;1039,244;;;;
57,5;1037,758;;;;
57,25;1036,253;;;;
56,75;1034,647;;;;
57;1033,212;;;;
56,25;1031,721;;;;
56,25;1030,047;;;;
56;1028,692;;;;
55,75;1027,157;;;;
55,25;1025,65;;;;
55;1024,116;;;;
55,5;1022,521;;;;
54,25;1016,658;;;;
54,25;1015,183;;;;
54,25;1013,654;;;;
54,25;1012,114;;;;
